id,fpa_deg,density_scale,ld_scale,classification,duration_s,peak_q_Pa,peak_g,peak_heat_W_m2,terminal_ecef_m_1,terminal_ecef_m_2,terminal_ecef_m_3,endpoint_shift_m,message
1,-2.5,0.9,1,ENDPOINT_REACHED_NO_PATH_OR_TARGET_ACCEPTANCE,660.133883202584,10127.1257400826,2.8645943956925,478037.366459916,2089737.98292942,5159894.95707704,3128317.70408347,443330.591559535,
2,-2.5,1,1,ENDPOINT_REACHED_NO_PATH_OR_TARGET_ACCEPTANCE,662.684711977831,10087.8804303537,2.85333483988481,479772.452185224,2108060.3089621,5153474.36936901,3126607.76578775,462803.231856806,
3,-2.5,1.1,1,ENDPOINT_REACHED_NO_PATH_OR_TARGET_ACCEPTANCE,665.219783027813,10041.3357036267,2.84004984894545,481331.824285061,2124568.7443488,5147633.46744014,3125055.1672691,480367.420933094,
4,-2,0.9,1,ENDPOINT_REACHED_NO_PATH_OR_TARGET_ACCEPTANCE,727.111475225845,9768.11584099993,2.76390513328259,421398.285684131,1646353.05474173,5304296.77270915,3151483.75042914,23568.7290472674,
5,-2,1,1,ENDPOINT_REACHED_NO_PATH_OR_TARGET_ACCEPTANCE,729.114675311526,9716.351505618,2.74906695499142,422885.334610771,1668996.15070276,5297841.73578177,3150431.28072922,0,
6,-2,1.1,1,ENDPOINT_REACHED_NO_PATH_OR_TARGET_ACCEPTANCE,731.157187256264,9658.31488778344,2.7324683350233,424227.56314523,1689388.55588796,5291953.2769158,3149458.57017106,21247.8305453436,
7,-1.5,0.9,1,ENDPOINT_REACHED_NO_PATH_OR_TARGET_ACCEPTANCE,822.618184842526,9290.28571330459,2.62927342046991,360012.723043515,989922.253514033,5464656.94535862,3152058.19498791,699264.841701096,
8,-1.5,1,1,ENDPOINT_REACHED_NO_PATH_OR_TARGET_ACCEPTANCE,823.768345325106,9230.20977155496,2.61202815284806,361220.675571444,1019273.1059641,5458960.96978185,3152573.5406023,669405.730261259,
9,-1.5,1.1,1,ENDPOINT_REACHED_NO_PATH_OR_TARGET_ACCEPTANCE,825.043789160019,9164.93979856243,2.59333717934998,362312.245010394,1045697.6106379,5453721.22029618,3152988.07822775,642499.82175321,
10,-2,1,0.9,ENDPOINT_REACHED_NO_PATH_OR_TARGET_ACCEPTANCE,690.644878745629,10360.623406238,2.89858373769758,433123.061850801,1815177.13525647,5240888.51033387,3164824.17409586,157542.710124822,
11,-2,1,1.1,ENDPOINT_REACHED_NO_PATH_OR_TARGET_ACCEPTANCE,769.128983665838,8935.60739968227,2.55863489739789,413205.899482922,1513316.31084964,5355169.97900972,3132079.29374058,166911.759426133,
