Delay_s,ScheduleStartMission_s,FirstBurnMission_s,EntryMission_s,Miss_m,Status,EndpointLatitude_deg,EndpointLongitude_deg
0,43676.7317058438,43676.7317058438,45836.5734398621,13606691.8565224,SCREEN_ONLY,10.9723241364292,-14.5134136554788
600,44276.7317058438,44276.7317058438,46452.0034998632,17006655.366099,SCREEN_ONLY,-31.2161387941151,-17.1737432385029
1200,44876.7317058438,44876.7317058438,47040.5116439866,16295116.368199,SCREEN_ONLY,-64.9714567015905,-19.2486108209055
1800,45476.7317058438,45476.7317058438,47620.7633046737,13283167.2388479,SCREEN_ONLY,-82.0279551852311,157.522465987683
2400,46076.7317058438,46076.7317058438,48221.3032702988,9230466.9512094,SCREEN_ONLY,-43.2012558212262,155.638859987681
3000,46676.7317058438,46676.7317058438,48842.3388990087,4590467.18412506,SCREEN_ONLY,0.84122262384377,152.874658647518
3537.78333600294,47214.5150418468,47214.5150418468,49390.0679464276,1762539.576271,UNRESOLVED_BY_SEARCH,33.5614737087432,149.534276431588
3547.78333600294,47224.5150418468,47224.5150418468,49400.0262040614,1741024.16609629,UNRESOLVED_BY_SEARCH,34.1592272057867,149.486961407852
3557.78333600294,47234.5150418468,47234.5150418468,49409.9756537857,1721880.04704651,UNRESOLVED_BY_SEARCH,34.7544367756469,149.439598691095
3567.78333600294,47244.5150418468,47244.5150418468,49419.9163405829,1705156.07791527,UNRESOLVED_BY_SEARCH,35.3470220424489,149.392180299217
3577.78333600294,47254.5150418468,47254.5150418468,49429.8483143004,1690888.83774309,UNRESOLVED_BY_SEARCH,35.9370952081756,149.344699881147
3587.78333600294,47264.5150418468,47264.5150418468,49439.7716295835,1679171.36732176,UNRESOLVED_BY_SEARCH,36.5175659216303,149.296997783547
3597.78333600294,47274.5150418468,47274.5150418468,49449.6863458051,1669868.35219688,UNRESOLVED_BY_SEARCH,37.1026099688714,149.249368416628
3600,47276.7317058438,47276.7317058438,49451.8829471644,1788420.0590797,SCREEN_ONLY,40.9148675989558,150.348650023931
4200,47876.7317058438,47876.7317058438,50035.3277799513,4230247.99895608,SCREEN_ONLY,73.4516022631768,148.449035576611
4800,48476.7317058438,48476.7317058438,50618.9845228149,7868107.77856213,SCREEN_ONLY,72.3186554798523,-34.5509656799413
5400,49076.7317058438,49076.7317058438,51226.3385398,12329798.7600207,SCREEN_ONLY,31.7341109111073,-36.9431241096827
6000,49676.7317058438,49676.7317058438,51847.4996809031,17181242.9955063,SCREEN_ONLY,-12.395084795442,-39.7214780479015
6600,50276.7317058438,50276.7317058438,52448.9299529063,18426111.6976544,SCREEN_ONLY,-49.9475576899524,-42.0828633279613
7200,50876.7317058438,50876.7317058438,53028.8435063491,14964838.6754528,SCREEN_ONLY,-82.0207992829477,-43.5800453348214
7800,51476.7317058438,51476.7317058438,53617.6001855795,10992926.9461628,SCREEN_ONLY,-62.2296455953507,133.04987440929
8400,52076.7317058438,52076.7317058438,54231.5505869817,6293148.03454792,SCREEN_ONLY,-20.0322945506471,130.454863132399
9000,52676.7317058438,52676.7317058438,54850.9723995453,1486670.93393808,SCREEN_ONLY,23.3622596672965,127.719420754676
9175.09670017275,52851.8284060166,52851.8284060166,55027.4611734577,373608.42424898,UNRESOLVED_BY_SEARCH,34.017467854196,127.733430961105
9185.09670017275,52861.8284060166,52861.8284060166,55037.4581264896,323789.522815191,UNRESOLVED_BY_SEARCH,34.8207411957253,127.576576098038
9195.09670017275,52871.8284060166,52871.8284060166,55047.4461339339,293361.489290467,UNRESOLVED_BY_SEARCH,35.1183508613391,127.732577017881
9205.09670017275,52881.8284060166,52881.8284060166,55057.4252188955,266337.966674191,UNRESOLVED_BY_SEARCH,35.6055758942236,127.755062657556
9215.09670017275,52891.8284060166,52891.8284060166,55067.3954096062,248197.203188111,UNRESOLVED_BY_SEARCH,35.8589162785043,127.854301408244
9225.09670017275,52901.8284060166,52901.8284060166,55077.3567393695,308357.611470232,UNRESOLVED_BY_SEARCH,34.4296070346021,128.240207049251
9235.09670017275,52911.8284060166,52911.8284060166,55087.3092465004,265485.233733015,UNRESOLVED_BY_SEARCH,35.0004354214965,128.214756941031
9600,53276.7317058438,53276.7317058438,55445.1611680044,2486284.86286157,SCREEN_ONLY,58.595200762496,125.521540188371
10200,53876.7317058438,53876.7317058438,56024.5403251797,6063049.81125883,SCREEN_ONLY,89.0069020343983,-63.1729697559412
10800,54476.7317058438,54476.7317058438,56619.6318531954,10188375.2955756,SCREEN_ONLY,51.5451538304253,-59.451047210209
11400,55076.7317058438,55076.7317058438,57238.0394070473,14897899.9959876,SCREEN_ONLY,8.11188912897109,-62.1632605193915
12000,55676.7317058438,55676.7317058438,57852.093438316,18608909.714652,SCREEN_ONLY,-33.6121994791203,-64.7943402539874
12600,56276.7317058438,56276.7317058438,58439.1261869163,16467602.1074377,SCREEN_ONLY,-66.9952520697357,-66.8306312237445
13200,56876.7317058438,56876.7317058438,59019.9941042994,13004660.1408784,SCREEN_ONLY,-79.7469070951081,110.077884440547
13800,57476.7317058438,57476.7317058438,59622.2558363976,8873371.79054016,SCREEN_ONLY,-40.4883573294186,108.000991765002
14400,58076.7317058438,58076.7317058438,60243.6934731778,4479204.03536277,SCREEN_ONLY,3.65672164790511,105.227517110497
15000,58676.7317058438,58676.7317058438,60851.4726707089,2472929.02371145,SCREEN_ONLY,43.1455380182239,102.739161025357
15600,59276.7317058438,59276.7317058438,61433.9148214368,4601549.25889194,SCREEN_ONLY,75.5031696079342,100.896771116387
16200,59876.7317058438,59876.7317058438,62018.6442681837,7898718.59255883,SCREEN_ONLY,69.9237194428402,-82.135346990354
16800,60476.7317058438,60476.7317058438,62627.6004865265,11881334.8615668,SCREEN_ONLY,28.9337678031596,-84.5882200710613
17400,61076.7317058438,61076.7317058438,63248.4753099643,15600591.3796503,SCREEN_ONLY,-15.0937446250797,-87.3613129993756
